paperId,citationKey,year,venue,title,datasets,modalities,archiveRow
dong2024hybridgait-aaai-2024,dong2024hybridgait,2024,AAAI,HybridGait: A benchmark for spatial-temporal cloth-changing gait recognition with hybrid explorations,CCGait; Gait3D,SMPL / mesh; Silhouette,2
fan2024skegait-aaai-2024,fan2024skegait,2024,AAAI,Skeletongait: Gait recognition using skeleton maps,CCPG; GREW; Gait3D; OU-MVLP; SUSTech1K,Silhouette; Skeleton,3
wang2024qagait-aaai-2024,wang2024qagait,2024,AAAI,Qagait: Revisit gait recognition from a quality perspective,CASIA-B; GREW; Gait3D,Silhouette,4
zou2024cross-aaai-2024,zou2024cross,2024,AAAI,Cross-covariate gait recognition: A benchmark,CCGR,Parsing,5
jin2025exploring-aaai-2025,jin2025exploring,2025,AAAI,Exploring more from multiple gait modalities for human identification,CCPG; GREW; Gait3D; SUSTech1K,Optical flow; Parsing; Silhouette,6
wang2025ra-aaai-2025,wang2025ra,2025,AAAI,RA-GAR: A Richly Annotated Benchmark for Gait Attribute Recognition,RA-GAR,Silhouette,7
wang2025waveloss-aaai-2025,wang2025waveloss,2025,AAAI,WaveLoss: An Adaptive Dynamic Loss for Deep Gait Recognition,CASIA-B; Gait3D; OU-MVLP,Silhouette,8
li2020end-accv-2020,li2020end,2020,ACCV,End-to-end model-based gait recognition,CASIA-B; OU-MVLP,RGB,10
wang2022gaitstrip-accv-2022,wang2022gaitstrip,2022,ACCV,Gaitstrip: Gait recognition via effective strip-based feature representations and multi-level framework,CASIA-B; OU-MVLP,Silhouette,11
thapar2024gaitw-accv-2024,thapar2024gaitw,2024,ACCV,GaitW: Enhancing Gait Recognition in the Wild Using Dynamic Information,CASIA-B; GREW; Gait3D; OU-MVLP,Silhouette,12
lin2021gaitmask-bmvc-2021,lin2021gaitmask,2021,BMVC,GaitMask: Mask-based Model for Gait Recognition.,CASIA-B; OU-MVLP,Silhouette,14
fan2020gaitpart-cvpr-2020,fan2020gaitpart,2020,CVPR,Gaitpart: Temporal part-based model for gait recognition,CASIA-B; OU-MVLP,Silhouette,16
li2020gait-cvpr-2020,li2020gait,2020,CVPR,Gait Recognition via Semi-supervised Disentangled Representation Learning to Identity and Covariate Features,CASIA-B; OU-LP-Bag,Silhouette,17
zhang2021cross-cvpr-2021,zhang2021cross,2021,CVPR,Cross-view gait recognition with deep universal linear embeddings,OU-MVLP,Silhouette,18
chai2022lagrange-cvpr-2022,chai2022lagrange,2022,CVPR,Lagrange motion analysis and view embeddings for improved gait recognition,CASIA-B; OU-MVLP,Silhouette,19
zheng2022gait-cvpr-2022,zheng2022gait,2022,CVPR,Gait recognition in the wild with dense 3d representations and a benchmark,Gait3D,SMPL / mesh; Silhouette,20
